1	+	11873	14409	11873	11873	DDX11L1
1	+	11873	14409	12189	13639	DDX11L1
1	-	14361	16765	14361	14361	WASH7P
1	-	16857	17751	16857	16857	WASH7P
1	-	15795	18061	15795	15795	WASH7P
1	-	14361	19759	14361	14361	WASH7P
1	-	16857	19759	16857	16857	WASH7P
1	-	14361	29370	14361	14361	WASH7P
1	-	14406	29370	14406	14406	WASH7P
1	-	15602	29370	15602	15602	WASH7P
1	-	16606	29370	16606	16606	WASH7P
1	-	16857	29370	16857	16857	WASH7P
1	-	17232	29370	17232	17232	WASH7P
1	-	17605	29370	17605	17605	WASH7P
1	-	16857	29961	16857	16857	WASH7P
1	-	34610	36081	34610	34610	FAM138F
1	+	69090	70008	69090	70008	OR4F5
1	-	134772	140566	138529	139792	LOC729737
1	+	321083	321115	321083	321083	DQ597235
1	+	321145	321207	321145	321145	DQ599768
1	+	324287	325896	324514	325605	LOC100133331
1	+	322036	326938	324342	325605	LOC100133331
1	+	327545	328439	327745	328213	LOC388312
1	+	323891	328581	324342	325605	LOC100132062
1	+	367658	368597	367658	368597	OR4F29
1	+	420205	421839	420205	420205	BC036251
1	-	566092	566115	566092	566092	JA429830
1	-	566134	566155	566134	566134	JA429831
1	-	566239	566263	566239	566239	JB137814
1	+	568843	568913	568843	568843	M37726
1	-	621095	622034	621095	622034	OR4F29
1	-	661138	665731	664484	665108	LOC100133331
1	-	668417	668479	668417	668417	DQ575786
1	-	668509	668541	668509	668509	DQ599872
1	-	661138	670994	664484	665108	LOC100133331
1	-	671823	671885	671823	671823	DQ575786
1	-	671915	671947	671915	671915	DQ599872
1	-	661138	679736	661138	661138	LOC100133331
1	-	674239	679736	674239	674239	AK310751
1	-	700244	714068	700244	700244	LOC100288069
1	-	761585	762902	762079	762571	LINC00115
1	+	762970	778984	762970	762970	LOC643837
1	+	762970	794826	762970	762970	LOC643837
1	+	763177	794826	763177	763177	LOC643837
1	-	803450	812182	803450	803450	FAM41C
1	+	846814	850328	846814	846814	AK056486
1	-	852952	854817	852952	852952	LOC100130417
1	+	860529	871276	861321	871275	SAMD11
1	+	861301	879533	861321	879533	SAMD11
1	+	861301	879533	874689	879532	SAMD11
1	+	874654	879533	874689	879533	SAMD11
1	+	861120	879961	861321	879533	SAMD11
1	+	861301	879961	861301	861301	SAMD11
1	+	861301	879961	861321	879533	SAMD11
1	+	861301	879961	874689	879533	SAMD11
1	+	861301	879961	877821	879533	SAMD11
1	+	861301	879961	861321	879706	SAMD11
1	+	861301	879961	861321	879533	SAMD11
1	+	861301	879961	874689	879533	SAMD11
1	+	861301	879961	861301	861301	SAMD11
1	+	861301	879961	861321	879533	SAMD11
1	+	861301	879961	874689	879533	SAMD11
1	+	861301	879961	861301	861301	SAMD11
1	+	861301	879961	874689	879533	SAMD11
1	+	861301	879961	871209	879533	SAMD11
1	+	861301	879961	861321	879533	SAMD11
1	+	861301	879961	861301	861301	SAMD11
1	+	861301	879961	874689	879533	SAMD11
1	+	861301	879961	861301	861301	SAMD11
1	+	861301	879961	861321	879533	SAMD11
1	+	861301	879961	861321	879706	SAMD11
1	+	861301	879961	861301	861301	SAMD11
